City Name,Zone Name,CCTV Junction No.,CCTV Pole No.,CCTV LOCATION
Nagpur,Mangalwari,146,Pole 1,Mangalwari Bazar Complex
Nagpur,Mangalwari,146,Pole 2,Mangalwari Bazar Complex
Nagpur,Mangalwari,147,Pole 1,Sadar  Karachi  Galli  Residency  Road  Gandhi Chowk
Nagpur,Dharampeth,148,Pole 1,Administrative  Building  No. 1 2 and District Compound Bazar
Nagpur,Mangalwari,149,Pole 1,In Front of Shriram Tower Parking
Nagpur,Mangalwari,149,Pole 2,In Front of Shriram Tower Parking
Nagpur,Dharampeth,150,Pole 1,In Front of Tahsil Office Gate
Nagpur,Dharampeth,151,Pole 1,In front of Collector Office Gate
Nagpur,Dharampeth,152,Pole 1,District Court Main Gate
Nagpur,Mangalwari,153,Pole 1,RajBhavan Sadar Bus Stand
Nagpur,Dharampeth,154,Pole 1,In front of DCP Zone II Office
Nagpur,Mangalwari,155,Pole 1,Chhaoni Police Chowki T Point
Nagpur,Mangalwari,156,Pole 1,MangalDeep Chowk T Point
Nagpur,Dharampeth,157,Pole 1,Hanuman Mandir sewa Banglow
Nagpur,Mangalwari,158,Pole 1,Liberty Talkies Chowk
Nagpur,Dharampeth,159,Pole 1,Dabha Area
Nagpur,Dharampeth,160,Pole 1,C.P.W. colony
Nagpur,Dharampeth,161,Pole 1,Hazaripahad area
Nagpur,Dharampeth,162,Pole 1,Japani garden square
Nagpur,Dharampeth,162,Pole 2,Japani garden square
Nagpur,Mangalwari,163,Pole 1,Juna Katol Naka Square
Nagpur,Mangalwari,163,Pole 2,Juna Katol Naka Square
Nagpur,Mangalwari,164,Pole 1,Gorewada square
Nagpur,Dharampeth,165,Pole 1,Dabha square
Nagpur,Mangalwari,166,Pole 1,Awasthi nagar T point
Nagpur,Mangalwari,167,Pole 1,Seminary Hills Near Balodyan vihar
Nagpur,Dharampeth,168,Pole 1,T.V. Tower Chowk
Nagpur,Dharampeth,169,Pole 1,Veternary college Chowk
Nagpur,Dharampeth,170,Pole 1,In front of Botanical Garden
Nagpur,Dharampeth,171,Pole 1,L.A.D. College Chowk
Nagpur,Dharampeth,172,Pole 1,Near Telangkhedi Hanuman Mandir
Nagpur,Dharampeth,173,Pole 1,Gittikhadan Chowk
Nagpur,Dharampeth,174,Pole 1,K.T.Nagar Katol Road
Nagpur,Dharampeth,175,Pole 1,New Katol Naka Chowk
Nagpur,Dharampeth,175,Pole 2,New Katol Naka Chowk
Nagpur,Mangalwari,176,Pole 1,Anant Nagar Chowk
Nagpur,Mangalwari,177,Pole 1,Borgaon Chowk
Nagpur,Mangalwari,178,Pole 1,Awasthi Nagar Chowk
Nagpur,Mangalwari,178,Pole 2,Awasthi Nagar Chowk
Nagpur,Dharampeth,179,Pole 1,Friends colony Chowk
Nagpur,Ashi Nagar,180,Pole 1,Kolkata railway line east area
Nagpur,Mangalwari,181,Pole 1,Kadbi chowk
Nagpur,Mangalwari,181,Pole 2,Kadbi chowk
Nagpur,Ashi Nagar,182,Pole 1,kamal chowk
Nagpur,Ashi Nagar,182,Pole 2,kamal chowk
Nagpur,Ashi Nagar,183,Pole 1,Char Khamba Chowk
Nagpur,Ashi Nagar,184,Pole 1,Rani Dugawati Chowk
Nagpur,Ashi Nagar,184,Pole 2,Rani Dugawati Chowk
Nagpur,Ashi Nagar,185,Pole 1,AwaleBabu Chowk
Nagpur,Ashi Nagar,185,Pole 2,AwaleBabu Chowk
Nagpur,Satranjipura,186,Pole 1,Under Mehandibagh Over Brigde
Nagpur,Ashi Nagar,187,Pole 1,NIT Chowk Vaishali Nagar Cement Road
Nagpur,Ashi Nagar,187,Pole 2,NIT Chowk Vaishali Nagar Cement Road
Nagpur,Ashi Nagar,188,Pole 1,Teka Naka chowk Kamthi Raod
Nagpur,Ashi Nagar,188,Pole 2,Teka Naka chowk Kamthi Raod
Nagpur,Mangalwari,189,Pole 1,Motibagh Railway crossing Guard line Road
Nagpur,Ashi Nagar,190,Pole 1,10 No. Pull Chowk Kamthi Road
Nagpur,Ashi Nagar,190,Pole 2,10 No. Pull Chowk Kamthi Road
Nagpur,Ashi Nagar,191,Pole 1,BuddhNagar Kalgidhar Gurudwara Turning Kamthi Road
Nagpur,Ashi Nagar,192,Pole 1,Gamdur Bar Chowk kamthi Road
Nagpur,Ashi Nagar,193,Pole 1,Baba Buddhaji Nagar Gate Kamthi Road
Nagpur,Ashi Nagar,194,Pole 1,Chirag Ali Chowk New Wasti Teka
Nagpur,Satranjipura,195,Pole 1,Mulchand  Saoji Bhojanalaya  Turning  Mehendi bagh Road
Nagpur,Satranjipura,196,Pole 1,Chakna Chowk Mehendibagh Road
Nagpur,Satranjipura,197,Pole 1,Naik Talao Near Tadi Shop
Nagpur,Satranjipura,198,Pole 1,Prakash Pan Mandir Chowk Tandapeth
Nagpur,Satranjipura,199,Pole 1,Laldarwaja Chowk Railway Gate
Nagpur,Satranjipura,200,Pole 1,Pachpaoli Over Brige Nandgiri Road T Point
Nagpur,Ashi Nagar,201,Pole 1,Dr. Ambedkar Garden Vaishali Nagar
Nagpur,Ashi Nagar,202,Pole 1,Asinagar Chowk
Nagpur,Ashi Nagar,203,Pole 1,Ashoknagar Chowk
Nagpur,Ashi Nagar,203,Pole 2,Ashoknagar Chowk
Nagpur,Ashi Nagar,204,Pole 1,Chambhar Nala Turning
Nagpur,Ashi Nagar,205,Pole 1,Toward Thakkargram Road
Nagpur,Ashi Nagar,205,Pole 1,Pachpaoli over bridge toward Barse Nagar Road 
Nagpur,Ashi Nagar,206,Pole 1,Front side of Sindhu College
Nagpur,Ashi Nagar,207,Pole 1,Buddha Chowk Ara Machine Road
Nagpur,Ashi Nagar,208,Pole 1,Khasada vasti
Nagpur,Mangalwari,209,Pole 1,Samta nagar area
Nagpur,Mangalwari,210,Pole 1,Near Paramid city
Nagpur,Mangalwari,211,Pole 1,Railway line on D.I. road
Nagpur,Ashi Nagar,212,Pole 1,Indora chowk
Nagpur,Ashi Nagar,212,Pole 2,Indora chowk
Nagpur,Mangalwari,213,Pole 1,Jaripatka chowk
Nagpur,Mangalwari,214,Pole 1,Barakholi Chowk
Nagpur,Mangalwari,215,Pole 1,Bhim Chowk
Nagpur,Mangalwari,216,Pole 1,Khobragade Chowk
Nagpur,Mangalwari,216,Pole 2,Khobragade Chowk
Nagpur,Mangalwari,217,Pole 1,Jaripatka Bazar
Nagpur,Mangalwari,218,Pole 1,Itarsi Pulia
Nagpur,Mangalwari,219,Pole 1,Patankar Chowk
Nagpur,Ashi Nagar,220,Pole 1,KapilNagar Chowk
Nagpur,Ashi Nagar,220,Pole 2,KapilNagar Chowk
Nagpur,Ashi Nagar,221,Pole 1,Kamgar Nagar Chowk
Nagpur,Ashi Nagar,222,Pole 1,Automotive Chowk
Nagpur,Ashi Nagar,222,Pole 2,Automotive Chowk
Nagpur,Mangalwari,223,Pole 1,Bokhara to chakki Khapa road
Nagpur,Mangalwari,224,Pole 1,Lonara road
Nagpur,Mangalwari,225,Pole 1,Koradi naka
Nagpur,Mangalwari,226,Pole 1,koradi mandir T point
Nagpur,Mangalwari,227,Pole 1,Karemore Complex Chowk
Nagpur,Mangalwari,228,Pole 1,Mordern School near Goyal Kirana Stores
Nagpur,Mangalwari,229,Pole 1,Arya Nagar Chowk
Nagpur,Mangalwari,230,Pole 1,Faras gate square
Nagpur,Mangalwari,231,Pole 1,Mankapur square
Nagpur,Mangalwari,232,Pole 1,Mankapur Kalpana Talkies Chowk In Front of Krida Sankul
Nagpur,Mangalwari,232,Pole 2,Mankapur Kalpana Talkies Chowk In Front of Krida Sankul
Nagpur,Mangalwari,233,Pole 1,Zingabai Takli Zenda Chowk
Nagpur,Mangalwari,234,Pole 1,Shrikrishna Mangal Karyalaya Godhni Road
Nagpur,Mangalwari,235,Pole 1,Godhni Toll Naka
Nagpur,Mangalwari,236,Pole 1,Zingabai Takli Shafi Nagar Chowk
Nagpur,Mangalwari,237,Pole 1,Sadikabad T-Point Mankapur
Nagpur,Mangalwari,238,Pole 1,Gorewada Chungi naka Pithesur Raod
Nagpur,Mangalwari,239,Pole 1,Baba Farid Nagar under the over bridge Koradi Road
Nagpur,Mangalwari,240,Pole 1,Mahatma Phule Chowk Godhani Village
Nagpur,Mangalwari,241,Pole 1,Godhani Railway Station
Nagpur,Lakadganj,242,Pole 1,Old  Hospital building in Queta colony
Nagpur,Lakadganj,242,Pole 1,Old  Building  near  Ponam  Mall
Nagpur,Lakadganj,243,Pole 1,Telephone Exchange chowk
Nagpur,Lakadganj,243,Pole 2,Telephone Exchange chowk
Nagpur,Lakadganj,244,Pole 1,Sarda chowk
Nagpur,Lakadganj,244,Pole 2,Sarda chowk
Nagpur,Lakadganj,245,Pole 1,Mahavir chowk
Nagpur,Lakadganj,246,Pole 1,Vaishno Devi chowk
Nagpur,Lakadganj,246,Pole 2,Vaishno Devi chowk
Nagpur,Lakadganj,247,Pole 1,Darodkar chowk
Nagpur,Lakadganj,248,Pole 1,Chandrashekhar Azad chowk
Nagpur,Lakadganj,249,Pole 1,Kolba  Swami chowk
Nagpur,Lakadganj,250,Pole 1,Ambedkar Chowk
Nagpur,Lakadganj,251,Pole 1,Day To Day chowk
Nagpur,Lakadganj,252,Pole 1,Prajapati chowk
Nagpur,Lakadganj,252,Pole 2,Prajapati chowk
Nagpur,Lakadganj,253,Pole 1,Sukhsagar Apartment
Nagpur,Lakadganj,254,Pole 1,Power House Chowk
Nagpur,Lakadganj,254,Pole 2,Power House Chowk
Nagpur,Lakadganj,255,Pole 1,Sudarshan Chowk
Nagpur,Lakadganj,255,Pole 2,Sudarshan Chowk
Nagpur,Lakadganj,256,Pole 1,Sunil Hotel Chowk
Nagpur,Lakadganj,257,Pole 1,Juna Motor Stand Chowk
Nagpur,Lakadganj,258,Pole 1,Balaji Mandir Chowk
Nagpur,Lakadganj,259,Pole 1,Masurkar Chowk
Nagpur,Lakadganj,259,Pole 2,Masurkar Chowk
Nagpur,Gandhibagh,260,Pole 1,Vande Materam Chowk
Nagpur,Satranjipura,261,Pole 1,Nehru Putla Chowk
Nagpur,Satranjipura,263,Pole 1,Premnagar Zenda Chowk
Nagpur,Satranjipura,264,Pole 1,Shantinagar Ghat Chowk
Nagpur,Satranjipura,265,Pole 1,Ratan Tower
Nagpur,Lakadganj,266,Pole 1,Gangabai Ghat Chowk
Nagpur,Lakadganj,266,Pole 2,Gangabai Ghat Chowk
Nagpur,Lakadganj,267,Pole 1,Hiwri Nagar Chowk
Nagpur,Lakadganj,267,Pole 2,Hiwri Nagar Chowk
Nagpur,Satranjipura,268,Pole 1,Marwadi Chowk
Nagpur,Satranjipura,269,Pole 1,Zade Chowk
Nagpur,Gandhibagh,270,Pole 1,Sevasadan chowk
Nagpur,Gandhibagh,270,Pole 2,Sevasadan chowk
Nagpur,Gandhibagh,271,Pole 1,Agrasen chowk
Nagpur,Gandhibagh,271,Pole 2,Agrasen chowk
Nagpur,Gandhibagh,272,Pole 1,Sona Restorent chowk
Nagpur,Satranjipura,273,Pole 1,Golibar chowk
Nagpur,Dhantoli,274,Pole 1,Gitanjali chowk
Nagpur,Dhantoli,274,Pole 2,Gitanjali chowk
Nagpur,Gandhibagh,275,Pole 1,Meyo Chowk
Nagpur,Gandhibagh,275,Pole 2,Meyo Chowk
